points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
16,C,29,5,10,50.0,6,6,100.0,0,2,0,2,4,6,1,2,0,5,0,-11,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12959
10,C,27,3,12,25.0,2,4,50.0,2,6,33.3,2,6,8,3,5,0,5,0,+14,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12971
9,C,29,3,7,42.9,2,2,100.0,1,4,25.0,2,7,9,2,5,0,5,0,-23,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12991
29,C,32,10,18,55.6,6,6,100.0,3,5,60.0,1,5,6,3,5,0,3,0,+5,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,12999
22,C,36,8,19,42.1,6,7,85.7,0,4,0,2,4,6,2,2,0,1,0,-18,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13019
22,C,31,8,17,47.1,5,5,100.0,1,4,25.0,2,6,8,6,2,0,4,1,+11,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13033
24,C,27,8,16,50.0,5,6,83.3,3,9,33.3,0,7,7,1,5,0,3,2,-6,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13049
28,C,34,11,19,57.9,1,1,100.0,5,5,100.0,1,5,6,5,2,3,2,0,+28,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13061
25,C,44,8,17,47.1,7,7,100.0,2,7,28.6,1,12,13,6,6,2,1,0,-5,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13065
23,C,28,7,8,87.5,6,7,85.7,3,3,100.0,1,7,8,1,2,2,0,0,+38,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13086
17,C,37,7,12,58.3,1,2,50.0,2,4,50.0,0,6,6,5,4,0,4,0,+12,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13101
27,C,31,10,17,58.8,2,2,100.0,5,5,100.0,2,4,6,4,2,0,1,0,+7,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13117
14,C,29,5,12,41.7,2,3,66.7,2,5,40.0,0,7,7,2,2,0,1,1,-1,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13130
19,C,36,4,10,40.0,10,10,100.0,1,4,25.0,1,10,11,2,6,0,3,1,-19,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13147
62,C,38,21,35,60.0,10,14,71.4,10,15,66.7,3,5,8,2,2,0,7,0,0,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13158
27,C,35,11,24,45.8,3,3,100.0,2,10,20.0,0,6,6,3,4,0,1,1,+26,,519,Karl-Anthony,Towns,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13168
