points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment,player.id,player.firstname,player.lastname,team.id,team.name,team.nickname,team.code,team.logo,game.id
5,PG,21,2,7,28.6,0,1,0,1,3,33.3,0,4,4,5,1,0,0,0,+13,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13393
5,PG,15,2,4,50.0,0,0,0,1,2,50.0,0,0,0,2,1,0,0,0,-1,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13410
6,PG,11,2,4,50.0,0,0,0,2,2,100.0,1,0,1,0,0,0,0,0,-9,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13421
5,PG,19,2,8,25.0,1,1,100.0,0,2,0,1,0,1,7,0,1,1,0,+8,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13429
2,PG,6,1,1,100.0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13451
2,PG,10,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,+2,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13522
8,PG,16,3,5,60.0,0,0,0,2,3,66.7,0,1,1,4,0,0,0,0,-5,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13535
8,PG,23,3,6,50.0,1,2,50.0,1,2,50.0,0,1,1,2,0,3,0,0,-7,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13543
3,PG,18,1,5,20.0,0,0,0,1,2,50.0,0,0,0,3,0,0,0,0,+4,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13562
8,PG,17,3,6,50.0,0,0,0,2,4,50.0,0,2,2,3,1,2,0,1,+7,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13579
1,PG,14,0,2,0,1,2,50.0,0,1,0,0,2,2,1,2,1,1,0,+14,,845,Monte,Morris,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,13604
