league,season,gamesBehind,streak,winStreak,tieBreakerPoints,team.id,team.name,team.nickname,team.code,team.logo,conference.name,conference.rank,conference.win,conference.loss,division.name,division.rank,division.win,division.loss,division.gamesBehind,win.home,win.away,win.total,win.percentage,win.lastTen,loss.home,loss.away,loss.total,loss.percentage,loss.lastTen
standard,2022,3,2,False,,1,Atlanta Hawks,Hawks,ATL,https://upload.wikimedia.org/wikipedia/fr/e/ee/Hawks_2016.png,east,8,41,41,southeast,2,41,41,3,24,17,41,0.500,5,17,24,41,0.500,5
standard,2022,,1,True,,20,Miami Heat,Heat,MIA,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,east,7,44,38,southeast,1,44,38,,27,17,44,0.537,6,14,24,38,0.463,4
standard,2022,9,1,False,,41,Washington Wizards,Wizards,WAS,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,east,11,35,47,southeast,3,35,47,9,19,16,35,0.427,3,22,25,47,0.573,7
standard,2022,10,4,False,,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,east,13,34,48,southeast,4,34,48,10,20,14,34,0.415,5,21,27,48,0.585,5
standard,2022,17,1,True,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,east,14,27,55,southeast,5,27,55,17,13,14,27,0.329,5,28,27,55,0.671,5
standard,2022,,1,True,,9,Denver Nuggets,Nuggets,DEN,https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/Nuggets_de_Denver_2018.png/180px-Nuggets_de_Denver_2018.png,west,1,53,29,northwest,1,53,29,,34,19,53,0.646,5,7,22,29,0.354,5
standard,2022,11,3,True,,22,Minnesota Timberwolves,Timberwolves,MIN,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,west,8,42,40,northwest,2,42,40,11,22,20,42,0.512,7,19,21,40,0.488,3
standard,2022,13,2,True,,25,Oklahoma City Thunder,Thunder,OKC,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,west,10,40,42,northwest,3,40,42,13,24,16,40,0.488,4,17,25,42,0.512,6
standard,2022,16,1,False,,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,west,12,37,45,northwest,4,37,45,16,23,14,37,0.451,2,18,27,45,0.549,8
standard,2022,20,4,False,,29,Portland Trail Blazers,Trail Blazers,POR,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1200px-Portland_Trail_Blazers_logo.svg.png,west,13,33,49,northwest,5,33,49,20,17,16,33,0.402,1,24,25,49,0.598,9
standard,2022,,3,False,,30,Sacramento Kings,Kings,SAC,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,west,3,48,34,pacific,1,48,34,,23,25,48,0.585,5,18,16,34,0.415,5
standard,2022,3,2,False,,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,west,4,45,37,pacific,2,45,37,3,28,17,45,0.549,7,13,24,37,0.451,3
standard,2022,4,3,True,,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,west,5,44,38,pacific,3,44,38,4,23,21,44,0.537,6,18,20,38,0.463,4
standard,2022,4,3,True,,11,Golden State Warriors,Warriors,GSW,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Warriors_de_Golden_State_logo.svg/1200px-Warriors_de_Golden_State_logo.svg.png,west,6,44,38,pacific,4,44,38,4,33,11,44,0.537,8,8,30,38,0.463,2
standard,2022,5,2,True,,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,west,7,43,39,pacific,5,43,39,5,23,20,43,0.524,8,18,21,39,0.476,2
standard,2022,,1,False,,19,Memphis Grizzlies,Grizzlies,MEM,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,west,2,51,31,southwest,1,51,31,,35,16,51,0.622,6,6,25,31,0.378,4
standard,2022,9,1,False,,23,New Orleans Pelicans,Pelicans,NOP,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,west,9,42,40,southwest,2,42,40,9,27,15,42,0.512,7,14,26,40,0.488,3
standard,2022,13,2,False,,8,Dallas Mavericks,Mavericks,DAL,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b8/Mavericks_de_Dallas_logo.svg/150px-Mavericks_de_Dallas_logo.svg.png,west,11,38,44,southwest,3,38,44,13,23,15,38,0.463,2,18,26,44,0.537,8
standard,2022,29,3,True,,14,Houston Rockets,Rockets,HOU,https://upload.wikimedia.org/wikipedia/fr/thumb/d/de/Houston_Rockets_logo_2003.png/330px-Houston_Rockets_logo_2003.png,west,14,22,60,southwest,4,22,60,29,14,8,22,0.268,4,27,33,60,0.732,6
standard,2022,29,1,True,,31,San Antonio Spurs,Spurs,SAS,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,west,15,22,60,southwest,5,22,60,29,14,8,22,0.268,3,27,33,60,0.732,7
