id,name,nickname,code,city,logo,allStar,nbaFranchise,leagues
19,Memphis Grizzlies,Grizzlies,MEM,Memphis,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Memphis_Grizzlies.svg/1200px-Memphis_Grizzlies.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
20,Miami Heat,Heat,MIA,Miami,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1c/Miami_Heat_-_Logo.svg/1200px-Miami_Heat_-_Logo.svg.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'California', 'division': None}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}}"
21,Milwaukee Bucks,Bucks,MIL,Milwaukee,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,False,True,"{'standard': {'conference': 'East', 'division': 'Central'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Central'}, 'sacramento': {'conference': 'East', 'division': 'Central'}}"
22,Minnesota Timberwolves,Timberwolves,MIN,Minnesota,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Timberwolves_du_Minnesota_logo_2017.png/200px-Timberwolves_du_Minnesota_logo_2017.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
23,New Orleans Pelicans,Pelicans,NOP,New Orleans,https://upload.wikimedia.org/wikipedia/fr/thumb/2/21/New_Orleans_Pelicans.png/200px-New_Orleans_Pelicans.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Southwest'}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
24,New York Knicks,Knicks,NYK,New York,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Atlantic'}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
25,Oklahoma City Thunder,Thunder,OKC,Oklahoma City,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
26,Orlando Magic,Magic,ORL,Orlando,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'East', 'division': 'Southeast'}}"
27,Philadelphia 76ers,76ers,PHI,Philadelphia,https://upload.wikimedia.org/wikipedia/fr/4/48/76ers_2016.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
28,Phoenix Suns,Suns,PHX,Phoenix,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'West', 'division': 'Pacific'}}"
29,Portland Trail Blazers,Trail Blazers,POR,Portland,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Portland_Trail_Blazers_logo.svg/1200px-Portland_Trail_Blazers_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
30,Sacramento Kings,Kings,SAC,Sacramento,https://upload.wikimedia.org/wikipedia/fr/thumb/9/95/Kings_de_Sacramento_logo.svg/1200px-Kings_de_Sacramento_logo.svg.png,False,True,"{'standard': {'conference': 'West', 'division': 'Pacific'}, 'sacramento': {'conference': 'California', 'division': None}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Pacific'}}"
31,San Antonio Spurs,Spurs,SAS,San Antonio,https://upload.wikimedia.org/wikipedia/fr/0/0e/San_Antonio_Spurs_2018.png,False,True,"{'standard': {'conference': 'West', 'division': 'Southwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'West', 'division': 'Southwest'}, 'sacramento': {'conference': 'West', 'division': 'Southwest'}}"
32,Shanghai Sharks,Sharks,SDS,Shanghai,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Shangaisharks.jpg/130px-Shangaisharks.jpg,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
33,Sydney Kings,Kings,SYD,Sydney,https://upload.wikimedia.org/wikipedia/fr/thumb/c/c4/Sydney_Kings.jpg/220px-Sydney_Kings.jpg,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
34,Team Team Durant,Team Durant,DRT,Team,,True,False,"{'standard': {'conference': 'East', 'division': 'East'}, 'vegas': {'conference': 'East', 'division': 'East'}, 'utah': {'conference': 'East', 'division': 'East'}, 'sacramento': {'conference': 'East', 'division': 'East'}}"
35,Team LeBron,Team LeBron,LBN,Team,,True,False,"{'standard': {'conference': 'West', 'division': 'West'}, 'vegas': {'conference': 'West', 'division': 'West'}, 'utah': {'conference': 'West', 'division': 'West'}, 'sacramento': {'conference': 'West', 'division': 'West'}}"
36,Away Team Wilbon,Team Wilbon,WLB,Away,,True,False,"{'standard': {'conference': 'East', 'division': 'East'}}"
37,Home Team Stephen A,Team Stephen A,SAS,Home,,True,True,"{'standard': {'conference': 'East', 'division': 'East'}}"
38,Toronto Raptors,Raptors,TOR,Toronto,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,False,True,"{'standard': {'conference': 'East', 'division': 'Atlantic'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Atlantic'}, 'sacramento': {'conference': 'East', 'division': 'Atlantic'}}"
39,USA USA,USA,USA,USA,,True,False,"{'standard': {'conference': 'East', 'division': 'East'}}"
40,Utah Jazz,Jazz,UTA,Utah,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,False,True,"{'standard': {'conference': 'West', 'division': 'Northwest'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'Utah', 'division': None}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
41,Washington Wizards,Wizards,WAS,Washington,https://upload.wikimedia.org/wikipedia/fr/archive/d/d6/20161212034849%21Wizards2015.png,False,True,"{'standard': {'conference': 'East', 'division': 'Southeast'}, 'vegas': {'conference': 'summer', 'division': None}, 'utah': {'conference': 'East', 'division': 'Southeast'}, 'sacramento': {'conference': 'East', 'division': 'Southeast'}}"
42,World World,World,WLD,World,,True,False,"{'standard': {'conference': 'East', 'division': 'East'}}"
43,Team Africa,Africa,AFR,Team,,False,False,"{'africa': {'conference': None, 'division': None}}"
44,Team World,World,WLD,Team,,False,False,"{'africa': {'conference': None, 'division': None}}"
83,,Paschoalotto/Bauru,BAU,Bauru,,False,False,"{'standard': {'conference': 'Internatio', 'division': None}}"
84,,Fenerbahce Sports Club,FEN,Istanbul,,False,False,"{'standard': {'conference': 'Internatio', 'division': None}}"
85,,Olimpia Milano,MLN,Milano,,False,False,"{'standard': {'conference': 'Internatio', 'division': None}}"
86,Real Madrid Real Madrid,Real Madrid,RMD,Real Madrid,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
87,Rio de Janeiro Flamengo,Flamengo,FLA,Rio de Janeiro,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
88,Barcelona FC Barcelona,FC Barcelona,FCB,Barcelona,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
89,Buenos Aires San Lorenzo,San Lorenzo,SLA,Buenos Aires,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
90,Adelaide 36ers,36ers,ADL,Adelaide,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
91,Beijing Ducks,Ducks,BJD,Beijing,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
92,New Zealand Breakers,Breakers,NZB,New Zealand,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
93,Perth Wildcats,Wildcats,PER,Perth,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
94,Team USA,USA,USA,Team,,False,False,"{'africa': {'conference': None, 'division': None}}"
95,Team World,World,WLD,Team,,False,False,"{'africa': {'conference': None, 'division': None}}"
96,Team China,China,CHN,China,,False,False,"{'vegas': {'conference': 'summer', 'division': None}}"
97,Team Croatia,Croatia,CRO,Croatia,,False,False,"{'vegas': {'conference': 'summer', 'division': None}}"
99,Franca Franca,Franca,FRA,Franca,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
102,Utah Blue,Jazz,UTB,Utah,,False,False,"{'vegas': {'conference': 'West', 'division': 'Northwest'}, 'standard': {'conference': 'West', 'division': 'Northwest'}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
103,Utah White,Jazz,UTW,Utah,,False,False,"{'vegas': {'conference': 'West', 'division': 'Northwest'}, 'standard': {'conference': 'West', 'division': 'Northwest'}, 'utah': {'conference': 'West', 'division': 'Northwest'}, 'sacramento': {'conference': 'West', 'division': 'Northwest'}}"
165,Ra'anana Maccabi Ra'anana,Maccabi Ra'anana,MRA,Ra'anana,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
166,Cairns Taipans,Taipans,CNS,,,False,False,"{'standard': {'conference': 'Intl', 'division': None}}"
168,New Zealand Breakers,Breakers,BNZ,Auckland,,False,False,"{'standard': {'conference': None, 'division': None}}"
169,Flamengo,Flamengo,,,,False,False,"{'standard': {'conference': None, 'division': None}}"
